Family;Genus;spName;WSG;logSLA;H;Seed
Anacardiaceae;AnacardiaceaeIND;AnacardiaceaeIND_sp.B1;0,4614;2,485503843;10;3
Anacardiaceae;Anacardium;Anacardium_spruceanum;0,4601;2,734583659;40;4
Anacardiaceae;Astronium;Astronium_lecointei;0,696;2,533324701;50;4
Anacardiaceae;Astronium;Astronium_ulei;0,7377;2,461868982;52;4
Anacardiaceae;Tapirira;Tapirira_bethanniana;0,583295;2,29249487;50;3
Anacardiaceae;Tapirira;Tapirira_guianensis;0,56165;2,493968164;25;3
Anacardiaceae;Tapirira;Tapirira_obtusa;0,4643;2,444311868;35;3
Anacardiaceae;Thyrsodium;Thyrsodium_guianense;0,61255;2,078912701;35;4
Anacardiaceae;Thyrsodium;Thyrsodium_puberulum;0,52;2,219882621;34;4
Annonaceae;Annona;Annona_prevostiae;0,28;2,510727349;10;2
Annonaceae;AnnonaceaeIND;AnnonaceaeIND_IND;0,52;2,785849917;10;2
Annonaceae;Duguetia;Duguetia_calycina;0,67;2,541951027;10;2
Annonaceae;Duguetia;Duguetia_surinamensis;0,757775;2,561763429;30;4
Annonaceae;Fusaea;Fusaea_longifolia;0,63;2,496741107;12;3
Annonaceae;Guatteria;Guatteria_anthracina;0,4607;2,193417121;52;3
Annonaceae;Guatteria;Guatteria_brevicuspis;0,5164;2,139929858;50;3
Annonaceae;Guatteria;Guatteria_guianensis;0,57845;2,217802778;15;3
Annonaceae;Guatteria;Guatteria_sp.B1;0,63877;2,710609441;50;3
Annonaceae;Guatteria;Guatteria_wachenheimii;0,5549;2,397370121;50;3
Annonaceae;Oxandra;Oxandra_asbeckii;0,73298;2,424474911;18;3
Annonaceae;Pseudoxandra;Pseudoxandra_cuspidata;0,5662;2,777508513;10;2
Annonaceae;Rollinia;Rollinia_elliptica;0,40073;2,700055972;10;2
Annonaceae;Tetrameranthus;Tetrameranthus_sp.;0,52253;2,121160582;52;1
Annonaceae;Unonopsis;Unonopsis_perrottetii;0,6862;2,753940676;53;3
Annonaceae;Unonopsis;Unonopsis_rufescens;0,585205;2,694100771;18;3
Annonaceae;Xylopia;Xylopia_frutescens;0,696935;2,579947229;50;2
Annonaceae;Xylopia;Xylopia_nitida;0,5865;2,262739184;34;2
Apocynaceae;Ambelania;Ambelania_acida;0,437795;2,195908864;20;2
Apocynaceae;Anartia;Anartia_meyerii;0,5;3,12565138;50;2
Apocynaceae;ApocynaceaeIND;ApocynaceaeIND_IND;0,7983;2,349491771;53;2
Apocynaceae;Aspidosperma;Aspidosperma_album;0,64905;1,995991782;35;3
Apocynaceae;Aspidosperma;Aspidosperma_cruentum;0,7379;2,355905896;25;3
Apocynaceae;Aspidosperma;Aspidosperma_marcgravianum;0,732;2,533030369;45;3
Apocynaceae;Aspidosperma;Aspidosperma_oblongum;0,7846;2,664828262;50;3
Apocynaceae;Aspidosperma;Aspidosperma_spruceanum;0,7034;1,977398764;52;3
Apocynaceae;Bonafousia;Bonafousia_undulata;0,59035;2,748927811;52;2
Apocynaceae;Couma;Couma_guianensis;0,47905;2,423282463;35;3
Apocynaceae;Geissospermum;Geissospermum_laevis;0,71915;2,721073641;50;2
Apocynaceae;Himatanthus;Himatanthus_sp.B1;0,4983;3,048620041;53;2
Apocynaceae;Lacmellea;Lacmellea_aculeata;0,5374;2,579318591;20;3
Apocynaceae;Macoubea;Macoubea_guianensis;0,425;2,657196818;32;3
Apocynaceae;Malouetia;Malouetia_guianensis;0,54731;2,750654807;50;2
Apocynaceae;Parahancornia;Parahancornia_fasciculata;0,45;2,609195175;33;3
Aquifoliaceae;Ilex;Ilex_sp.2DS;0,57145;2,475573363;52;4
Aquifoliaceae;Ilex;Ilex_sp.B1;0,51;2,159399435;52;1
Araliaceae;Schefflera;Schefflera_decaphylla;0,4458;1,906288445;40;2
Araliaceae;Schefflera;Schefflera_morototoni;0,51;2,319002652;35;2
Arecaceae;Astrocaryum;Astrocaryum_rodriguesii;0,5706;1,492540248;53;5
Arecaceae;Astrocaryum;Astrocaryum_sciophilum;0,5307;1,73172749;12;5
Arecaceae;Euterpe;Euterpe_oleracea;0,586;2,118013816;28;4
Arecaceae;Jessenia;Jessenia_bataua;0,54365;1,962189741;53;4
Arecaceae;Oenocarpus;Oenocarpus_bacaba;0,5583;1,923246289;25;4
Bignoniaceae;Jacaranda;Jacaranda_copaia;0,40207;2,276972517;38;2
Bignoniaceae;Tabebuia;Tabebuia_capitata;0,76985;2,626792164;32;2
Bignoniaceae;Tabebuia;Tabebuia_serratifolia;0,65161;3,0870692;30;2
Bignoniaceae;Tabebuia;Tabebuia_sp.B1;0,7828;3,241886936;50;4
Boraginaceae;Cordia;Cordia_sagotii;0,49;2,228134419;15;3
Boraginaceae;Cordia;Cordia_sp.B2;0,41282;2,906581995;50;3
Brassicaceae;Capparis;Capparis_leprieurii;0,51;2,29566557;10;4
Brassicaceae;Capparis;Capparis_maroniensis;0,6114;2,656921107;29;4
Burseraceae;BurseraceaeIND;BurseraceaeIND_sp.B1;0,6558;2,059617725;53;5
Burseraceae;Crepidospermum;Crepidospermum_goudotianum;0,6045;2,584536491;50;4
Burseraceae;Dacryodes;Dacryodes_cuspidata;0,7017;2,248285862;50;4
Burseraceae;Dacryodes;Dacryodes_nitens;0,558539529;2,262848635;23;4
Burseraceae;Dacryodes;Dacryodes_sp.B1;0,3616;2,138040291;12;4
Burseraceae;Dacryodes;Dacryodes_sp.B2;0,669527897;2,047227922;50;4
Burseraceae;Protium;Protium_altsonii;0,62125;2,665291221;52;4
Burseraceae;Protium;Protium_apiculatum;0,5642;2,503248833;25;3
Burseraceae;Protium;Protium_cuneatum;0,42518;2,490686584;50;3
Burseraceae;Protium;Protium_decandrum;0,53948;2,345695217;41;4
Burseraceae;Protium;Protium_demerarense;0,5985;2,679912807;50;3
Burseraceae;Protium;Protium_divaricatum;0,699165;2,842593685;10;3
Burseraceae;Protium;Protium_gallicum;0,662985;2,611856907;35;3
Burseraceae;Protium;Protium_giganteum;0,48959;2,624337785;30;3
Burseraceae;Protium;Protium_guianense;0,720215464;2,562269547;45;3
Burseraceae;Protium;Protium_morii;0,4757;2,445610228;10;3
Burseraceae;Protium;Protium_opacum;0,5769;2,41337638;30;4
Burseraceae;Protium;Protium_pallidum;0,60729;2,533992317;10;3
Burseraceae;Protium;Protium_plagiocarpum;0,637414789;2,709390842;50;4
Burseraceae;Protium;Protium_sagotianum;0,61;2,379876767;23;3
Burseraceae;Protium;Protium_sp.B1;0,7874;2,277120474;50;4
Burseraceae;Protium;Protium_sp.B2;0,59676;2,66336208;10;3
Burseraceae;Protium;Protium_sp.B3;0,43;2,325802745;50;4
Burseraceae;Protium;Protium_sp.B4;0,586;2,275282307;50;4
Burseraceae;Protium;Protium_subserratum;0,4597;2,742757749;33;3
Burseraceae;Protium;Protium_tenuifolium;0,601829562;1,979227798;34;3
Burseraceae;Protium;Protium_trifoliolatum;0,6362;2,642433422;15;3
Burseraceae;Tetragastris;Tetragastris_altissima;0,57785;2,478116321;50;3
Burseraceae;Tetragastris;Tetragastris_panamensis;0,68385;2,175591811;39;3
Burseraceae;Trattinnickia;Trattinnickia_demerarae;0,5488;1,729075499;53;1
Burseraceae;Trattinnickia;Trattinnickia_sp.B1;0,49;1,954914447;10;1
Caryocaraceae;Caryocar;Caryocar_glabrum;0,62905;2,467648118;48;5
Celastraceae;Cheiloclinium;Cheiloclinium_cognatum;0,68687;2,593796042;10;3
Celastraceae;Goupia;Goupia_glabra;0,660485;2,423769097;42;1
Celastraceae;Maytenus;Maytenus_guyanensis;0,65483;2,487572345;52;3
Celastraceae;Maytenus;Maytenus_myrsinoides;0,684995;1,822572541;50;3
Celastraceae;Maytenus;Maytenus_oblongata;0,7146;2,15423033;13;3
Celastraceae;Maytenus;Maytenus_sp.B1;0,69;2,341076905;50;3
Celastraceae;Maytenus;Maytenus_sp.B2;0,7605;1,389474014;50;3
Chrysobalanaceae;ChrysobalanaceaeIND;ChrysobalanaceaeIND_sp.B1;0,7626;2,492902663;50;4
Chrysobalanaceae;Couepia;Couepia_bracteosa;0,7988;2,158172866;20;5
Chrysobalanaceae;Couepia;Couepia_caryophylloides;0,745;2,45744433;39;5
Chrysobalanaceae;Couepia;Couepia_guianensis;0,7364;2,3330829;37;4
Chrysobalanaceae;Couepia;Couepia_habrantha;0,7747;1,961591639;30;5
Chrysobalanaceae;Couepia;Couepia_joaquinae;0,7878;2,598773597;10;5
Chrysobalanaceae;Couepia;Couepia_magnoliifolia;0,734115;2,119448522;10;5
Chrysobalanaceae;Couepia;Couepia_parillo;0,7493;2,505148464;20;5
Chrysobalanaceae;Exellodendron;Exellodendron_barbatum;0,71;2,557051115;52;4
Chrysobalanaceae;Hirtella;Hirtella_araguariensis;0,636645963;2,523305783;50;3
Chrysobalanaceae;Hirtella;Hirtella_bicornis;0,7354;2,670498239;29;3
Chrysobalanaceae;Hirtella;Hirtella_bicornisvarbicornis;0,74;2,689932336;52;3
Chrysobalanaceae;Hirtella;Hirtella_bicornisvarpubescens;0,677;2,604988777;50;3
Chrysobalanaceae;Hirtella;Hirtella_glandistipula;0,833;2,512014969;50;3
Chrysobalanaceae;Hirtella;Hirtella_glandulosa;0,7756;2,095392484;35;3
Chrysobalanaceae;Hirtella;Hirtella_macrosepala;0,677637948;2,489487085;53;3
Chrysobalanaceae;Hirtella;Hirtella_suffulta;0,78;2,443751188;52;3
Chrysobalanaceae;Licania;Licania_alba;0,72228;2,011204394;37;5
Chrysobalanaceae;Licania;Licania_canescens;0,7611;2,292208865;33;4
Chrysobalanaceae;Licania;Licania_glabriflora;0,685;2,811719519;10;4
Chrysobalanaceae;Licania;Licania_heteromorpha;0,78095;2,187965416;35;4
Chrysobalanaceae;Licania;Licania_IND;0,8111;1,928725324;10;3
Chrysobalanaceae;Licania;Licania_kunthiana;0,7514;2,01472667;35;4
Chrysobalanaceae;Licania;Licania_laevigata;0,7558;2,434496469;10;4
Chrysobalanaceae;Licania;Licania_latistipula;0,7944;2,417224461;39;4
Chrysobalanaceae;Licania;Licania_laxiflora;0,8113;2,255303559;29;4
Chrysobalanaceae;Licania;Licania_licaniiflora;0,6886;2,553089701;30;5
Chrysobalanaceae;Licania;Licania_majuscula;0,74;2,036531638;10;3
Chrysobalanaceae;Licania;Licania_membranacea;0,7903;2,066464756;40;3
Chrysobalanaceae;Licania;Licania_micrantha;0,7867;2,082790309;30;4
